14.01.2019 00:21:32: 0h 2min | Aquaman(76561198095943386) | Player gained 10000000 cash within 0.1 seconds.
14.01.2019 00:21:33: 0h 2min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:21:34: 0h 2min | Aquaman(76561198095943386) | Player gained 2500000 cash within 0.1 seconds.
14.01.2019 00:21:35: 0h 2min | Aquaman(76561198095943386) | Player gained 1150000 cash within 0.1 seconds.
14.01.2019 00:21:58: 0h 2min | Aquaman(76561198095943386) | Player gained 1150000 cash within 0.1 seconds.
14.01.2019 00:21:59: 0h 2min | Aquaman(76561198095943386) | Player gained 2500000 cash within 0.1 seconds.
14.01.2019 00:21:59: 0h 2min | Aquaman(76561198095943386) | Player gained 1150000 cash within 0.1 seconds.
14.01.2019 00:22:00: 0h 2min | Aquaman(76561198095943386) | Player gained 1150000 cash within 0.1 seconds.
14.01.2019 00:22:00: 0h 2min | Aquaman(76561198095943386) | Player gained 1150000 cash within 0.1 seconds.
14.01.2019 00:22:01: 0h 2min | Aquaman(76561198095943386) | Player gained 2500000 cash within 0.1 seconds.
14.01.2019 00:22:01: 0h 2min | Aquaman(76561198095943386) | Player gained 5000002 cash within 0.1 seconds.
14.01.2019 00:22:07: 0h 2min | Aquaman(76561198095943386) | Player gained 10000000 cash within 0.1 seconds.
14.01.2019 00:22:11: 0h 2min | Aquaman(76561198095943386) | Player gained 10000000 cash within 0.1 seconds.
14.01.2019 00:23:45: 0h 4min | Aquaman(76561198095943386) | Player gained 3999996 cash within 0.1 seconds.
14.01.2019 00:23:45: 0h 4min | Aquaman(76561198095943386) | Player gained 4999995 cash within 0.1 seconds.
14.01.2019 00:23:45: 0h 4min | Aquaman(76561198095943386) | Player gained 3999999 cash within 0.1 seconds.
14.01.2019 00:23:45: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:45: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:45: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:45: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:45: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:23:46: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:46: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:46: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:23:46: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:46: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:46: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:46: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:46: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:23:46: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:47: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:47: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:47: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:23:47: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:47: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:47: 0h 4min | Aquaman(76561198095943386) | Player gained 3000000 cash within 0.1 seconds.
14.01.2019 00:23:47: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:47: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:47: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:47: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:23:47: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:48: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:48: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:23:48: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:48: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:48: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:48: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:48: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:48: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:49: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:49: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:23:49: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
